id,date,time,continent_code,country_name,country_code,state/province,population,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities,source_name,source_link
6421,12/4/2014,Unknown,NA,United States,US,California,143911,Escondido,5.53682,Burned area,33.0938,-117.1375,"(33.093800000000002, -117.1375)",Landslide,Debris flow,Small,Rain,,0,0,NBC 7,http://www.nbcsandiego.com/news/local/Harmony-Grove-Mudslide-Wilglen-Drive-San-Diego-Cocos-Fire-284775311.html
6422,12/4/2014,1:00,NA,United States,US,California,44199,San Jacinto,5.62939,Above road,33.8294,-116.9746,"(33.8294, -116.9746)",Landslide,Mudslide,Medium,Downpour,,0,0,LA Times,http://www.latimes.com/local/lanow/la-me-ln-flash-flood-inland-empire-20141204-story.html
6423,12/3/2014,,NA,United States,US,California,2593,Crest,2.75389,Above road,32.7862,-116.8526,"(32.786200000000001, -116.8526)",Landslide,Mudslide,Small,Rain,,0,0,Mashable,http://mashable.com/2014/12/04/mudslides-floods-california/
6430,8/3/2014,,NA,United States,US,California,51367,Yucaipa,13.02571,Unknown,34.0873,-116.9176,"(34.087299999999999, -116.91759999999999)",Landslide,Mudslide,Medium,Downpour,,0,0,KETK,http://www.ketknbc.com/news/campers-being-rescued-after-mudslide-traps-them-in
6738,2/1/2015,10:05,NA,United States,US,California,14236,Alpine,1.38372,Urban area,32.8364,-116.7692,"(32.836399999999998, -116.7692)",Landslide,Rockfall,Small,Unknown,,0,0,Breaking News,http://www.breakingnews.com/item/2015/02/01/photo-a-boulder-shaken-loose-in-a-landslide-smash/
7228,7/19/2015,,NA,United States,US,California,57065,La Mesa,4.97056,Above road,32.7738,-117.1282,"(32.773800000000001, -117.12820000000001)",Landslide,Rockfall,Small,Downpour,,0,0,East County Magazine,http://www.eastcountymagazine.org/rockslides
7229,7/19/2015,,NA,United States,US,California,20292,Ramona,4.85697,Above road,33.0742,-116.9029,"(33.074199999999998, -116.9029)",Landslide,Landslide,Small,Downpour,,0,0,East County Magazine,http://www.eastcountymagazine.org/rockslides
7230,7/19/2015,,NA,United States,US,California,1502,Julian,4.69959,Above road,33.098,-116.6468,"(33.097999999999999, -116.6468)",Landslide,Landslide,Small,Downpour,,0,0,East County Magazine,http://www.eastcountymagazine.org/rockslides
7231,7/19/2015,,NA,United States,US,California,10109,San Diego Country Estates,7.62002,Above road,33.0681,-116.7469,"(33.068100000000001, -116.7469)",Landslide,Landslide,Small,Downpour,,0,0,East County Magazine,http://www.eastcountymagazine.org/rockslides
7232,7/19/2015,,NA,United States,US,California,20292,Ramona,3.13754,Below road,33.05,-116.836,"(33.049999999999997, -116.836)",Landslide,Landslide,small,Downpour,,0,0,East County Magazine,http://www.eastcountymagazine.org/rockslides
7233,7/19/2015,,NA,United States,US,California,1006,Niland,53.76298,Below road,33.712,-115.3871,"(33.712000000000003, -115.3871)",Landslide,Landslide,Medium,Downpour,,1,0,Weather.com,http://www.weather.com/news/news/california-southwest-severe-weather-impacts
7240,7/18/2015,15:20,NA,United States,US,California,51367,Yucaipa,10.37615,Above road,34.1036,-116.9702,"(34.1036, -116.97020000000001)",Landslide,Rockfall,Small,Downpour,,0,0,The Press Enterprise,http://www.pe.com/articles/bus-773764-fire-slide.html
7348,7/19/2015,,NA,United States,US,California,193365,Moreno Valley,5.33395,Natural slope,33.9805,-117.2564,"(33.980499999999999, -117.2564)",Landslide,Debris flow,Medium,Downpour,,0,0,NBC,http://www.nbclosangeles.com/on-air/as-seen-on/Storm-Triggers-Flooding-Mudflow_Los-Angeles-317443631.html
